COSMIC_ID,model_id,SEEDING_DENSITY,GROWTH_RATE,DOUBLING_TIME,DAY4DAY1RATIO,tissue,cancer_type,model_type,growth_properties
905976,SIDM00107,125,1.0051184819968442,51.47569711697329,2.906696254757429,Skin,Melanoma,Cell Line,Unknown
905977,SIDM00108,625,0.713261705563498,69.69885761514244,2.099875139502912,Skin,Melanoma,Cell Line,Unknown
905983,SIDM00111,300,1.2521228356718914,39.915396638485944,3.607318573306392,Central Nervous System,Low Grade Glioma,Cell Line,Adherent
905980,SIDM00113,300,0.8471485594790207,60.24299895191683,2.420051067550423,Kidney,Kidney Carcinoma,Cell Line,Unknown
1240141,SIDM00114,625,0.6888756211220297,77.87170956217007,2.0642713388079543,Lung,Other Solid Carcinomas,Cell Line,Unknown
905944,SIDM00116,1e3,0.28797312723104446,-825.7678347975258,1.4221746844751022,Lung,Lung Adenocarcinoma,Cell Line,Adherent
905967,SIDM00117,300,1.1753823634261527,43.83078369111591,3.538061272307852,Lung,Lung Adenocarcinoma,Cell Line,Unknown
905971,SIDM00118,400,1.1258513486566288,44.600654492697934,3.25114466277774,Large Intestine,Colorectal Carcinoma,Cell Line,Unknown
905970,SIDM00119,500,0.42219501960214917,122.72920191211534,1.588906083289951,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Adherent
905935,SIDM00120,500,0.47650303360808616,105.27072437975094,1.651620709155472,Prostate,Prostate Carcinoma,Cell Line,Adherent
905952,SIDM00121,1250,1.0522061361402968,52.82833223957214,3.1080704030734574,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,Cell Line,Suspension
905951,SIDM00122,300,0.17496024670626448,-165.39641970109133,1.2784205619789768,Breast,Breast Carcinoma,Cell Line,Adherent
905951,SIDM00122,625,0.5008353718430639,112.47508511243565,1.7405749946857028,Breast,Breast Carcinoma,Cell Line,Adherent
905950,SIDM00123,200,1.4709873777714566,34.857133218354974,4.670373743752063,Kidney,Kidney Carcinoma,Cell Line,Adherent
905948,SIDM00124,250,0.9327467517901262,56.694703551952145,2.650502629710699,Kidney,Kidney Carcinoma,Cell Line,Adherent
905948,SIDM00124,625,0.37512732402837057,156.6225531467113,1.5154339328920228,Kidney,Kidney Carcinoma,Cell Line,Adherent
905947,SIDM00125,150,1.064001874726768,47.581212385997226,3.0149805056697465,Kidney,Kidney Carcinoma,Cell Line,Adherent
1240162,SIDM00127,500,0.9430717210233244,53.49396249205928,2.6531174047837025,Head and Neck,Oral Cavity Carcinoma,Cell Line,Unknown
906821,SIDM00130,350,0.801655712053958,63.90989963968516,2.3269795445378043,Pancreas,Pancreatic Carcinoma,Cell Line,Adherent
906693,SIDM00132,625,0.7271239489989296,-13.28203100166645,2.2014276701195836,Pancreas,Pancreatic Carcinoma,Cell Line,Adherent
905972,SIDM00133,300,0.8045244399985999,61.097521600128474,2.300656082028519,Lung,Lung Adenocarcinoma,Cell Line,Unknown
905973,SIDM00134,625,0.605965143065968,93.67048836148325,1.9375696142156122,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Unknown
905957,SIDM00135,125,0.8454971268754733,66.15932403584397,2.4752002067962953,Breast,Breast Carcinoma,Cell Line,Adherent
905939,SIDM00136,200,1.7460999546080365,28.874022050240153,6.031558658046386,Large Intestine,Colorectal Carcinoma,Cell Line,Adherent
1240190,SIDM00137,300,1.22952695547748,42.781383456302166,3.6317577656292332,Lung,Lung Adenocarcinoma,Cell Line,Unknown
905942,SIDM00138,1250,0.5309991549378993,337.575278624578,1.8520204802210631,Lung,Lung Adenocarcinoma,Cell Line,Adherent
905941,SIDM00139,625,0.2911968622540729,187.09820173143186,1.3784570202843043,Lung,Mesothelioma,Cell Line,Adherent
906814,SIDM00140,300,0.6579845619968372,79.29347865883456,2.0179877729269537,Skin,Melanoma,Cell Line,Adherent
910691,SIDM00142,625,0.5639097378504466,85.65502937053151,1.7907713147507853,Endometrium,Endometrial Carcinoma,Cell Line,Suspension
910691,SIDM00142,900,0.9526735458068172,53.09186563723889,2.6696537565399048,Endometrium,Endometrial Carcinoma,Cell Line,Suspension
910692,SIDM00143,500,0.8021675241670168,61.663270363537855,2.2884261604302236,Lung,Small Cell Lung Carcinoma,Cell Line,Semi-Adherent
905958,SIDM00145,2500,0.5061329243952539,103.11804503301423,1.7078422057264626,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,Cell Line,Suspension
905960,SIDM00146,100,1.2732760627678783,40.44108077022941,3.771438631574116,Breast,Breast Carcinoma,Cell Line,Adherent
905946,SIDM00148,150,1.408283962719803,37.0057675608025,4.443935716205374,Breast,Breast Carcinoma,Cell Line,Adherent
905946,SIDM00148,800,0.24263781848009947,355.0237329651226,1.304801527404149,Breast,Breast Carcinoma,Cell Line,Adherent
905974,SIDM00149,150,1.528280735790418,32.47651915723575,4.76141578920312,Skin,Melanoma,Cell Line,Unknown
905989,SIDM00150,325,1.4461346746251174,36.13554965979401,4.573681883321333,Large Intestine,Colorectal Carcinoma,Cell Line,Unknown
905968,SIDM00151,325,1.0308630666812038,48.77600877364872,2.9033997943641823,Ovary,Ovarian Carcinoma,Cell Line,Unknown
1290813,SIDM00154,325,0.38991683235471414,128.18417021970922,1.531786391751139,Lung,Mesothelioma,Cell Line,Unknown
949174,SIDM00156,625,0.7959754926655146,63.35763741789043,2.2836334698557614,Peripheral Nervous System,Neuroblastoma,Cell Line,Unknown
753532,SIDM00174,250,0.9587957178002774,57.314001205006875,2.799304805374948,Head and Neck,Head and Neck Carcinoma,Cell Line,Unknown
1303912,SIDM00176,400,0.2560171959485432,116.47785063503497,1.3473233583025204,Bone,Chondrosarcoma,Cell Line,Unknown
1303912,SIDM00176,625,0.3291700908283813,146.6702625615876,1.4053184190248071,Bone,Chondrosarcoma,Cell Line,Unknown
753585,SIDM00180,325,0.9957675309338063,52.628635411052706,2.8653824942185127,Kidney,Kidney Carcinoma,Cell Line,Unknown
753584,SIDM00181,200,0.8127261669558341,61.05673737872045,2.3185455440681615,Bladder,Bladder Carcinoma,Cell Line,Unknown
753583,SIDM00182,1250,0.3245597906886404,196.83355476085688,1.4578297555646997,Head and Neck,Head and Neck Carcinoma,Cell Line,Unknown
753558,SIDM00188,300,0.6550146020662515,74.59680051878402,1.9866932651122335,Kidney,Kidney Carcinoma,Cell Line,Unknown
1660036,SIDM00193,1250,0.43702487631718356,310.3112588306306,1.6726048470857287,Large Intestine,Colorectal Carcinoma,Cell Line,Adherent
1660035,SIDM00194,1250,0.41706776972610143,200.58597348194476,1.610837581371772,Large Intestine,Colorectal Carcinoma,Cell Line,Adherent
949168,SIDM00195,1250,0.2568886174899981,205.583537543332,1.3591717891050459,Bone,Ewing's Sarcoma,Cell Line,Unknown
949167,SIDM00196,500,0.8306833746549407,59.727496555084734,2.3485795094919895,Bone,Ewing's Sarcoma,Cell Line,Unknown
949164,SIDM00197,1250,0.40878540293505367,125.24437383007766,1.5517567937626464,Bone,Ewing's Sarcoma,Cell Line,Unknown
949165,SIDM00198,800,0.76746817937970635,67.00579155763964,2.236304719331521,Bone,Ewing's Sarcoma,Cell Line,Unknown
1290795,SIDM00199,300,1.0981399754675985,48.74293011465801,3.2154914779579538,Bone,Chondrosarcoma,Cell Line,Adherent
949160,SIDM00201,1e3,0.929225666633114,56.31496280830077,2.6572390197522604,Bone,Ewing's Sarcoma,Cell Line,Unknown
949161,SIDM00202,1250,0.4790681044598175,274.7561934196841,1.6819786283559324,Bone,Ewing's Sarcoma,Cell Line,Unknown
684062,SIDM00203,625,0.5328020581115485,105.1187319873048,1.7732652228462087,Bone,Ewing's Sarcoma,Cell Line,Unknown
949163,SIDM00205,625,1.1078286908475161,47.1234401916657,3.21597043407504,Bone,Ewing's Sarcoma,Cell Line,Unknown
906804,SIDM00210,250,1.621010265986003,30.74816299822175,5.231050343885291,Ovary,Ovarian Carcinoma,Cell Line,Adherent
910944,SIDM00211,2500,0.11679516356412947,-49.0960340076616,1.198620328884867,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,Cell Line,Suspension
910943,SIDM00212,400,0.5920372653767491,84.11057556320239,1.8637811540541613,Central Nervous System,Glioblastoma,Cell Line,Adherent
910943,SIDM00212,625,0.21291015163778862,214.48658940817865,1.261976742727311,Central Nervous System,Glioblastoma,Cell Line,Adherent
906864,SIDM00213,200,1.008981313406043,51.90890090070166,2.872446271685896,Thyroid,Thyroid Gland Carcinoma,Cell Line,Adherent
1660034,SIDM00214,400,0.7812662333252559,68.60629609559686,2.291023826298436,Large Intestine,Colorectal Carcinoma,Cell Line,Adherent
1659928,SIDM00216,600,1.2163832618126402,43.00451314730214,3.6185709556470442,Large Intestine,Colorectal Carcinoma,Cell Line,Suspension
1659823,SIDM00217,1250,-0.06937211555910841,-884.5358510047848,0.945140934259605,Large Intestine,Colorectal Carcinoma,Cell Line,Adherent
930083,SIDM00218,325,0.32474596939669065,169.71509765654966,1.4304403911759227,Thyroid,Thyroid Gland Carcinoma,Cell Line,Adherent
909257,SIDM00220,150,1.6087049996061207,31.695486865466634,5.361774852855941,Ovary,Ovarian Carcinoma,Cell Line,Adherent
908150,SIDM00222,300,0.6211151781302122,85.10223981963468,1.923439548109502,Lung,Mesothelioma,Cell Line,Adherent
907173,SIDM00224,625,0.5467091229325945,93.62503460485439,1.7698646648811078,Lung,Mesothelioma,Cell Line,Adherent
907172,SIDM00225,250,1.271623817863485,40.71368940643631,3.8168650604825785,Skin,Melanoma,Cell Line,Adherent
906872,SIDM00227,325,0.7309134024810389,70.52369733979666,2.18076413209277,Peripheral Nervous System,Neuroblastoma,Cell Line,Adherent
753565,SIDM00230,5e3,-0.09345451671913674,225.23157613465514,0.9289186566434237,Lung,Small Cell Lung Carcinoma,Cell Line,Suspension
910687,SIDM00233,900,1.1358664573513664,49.35697925919834,3.4644692101145647,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,Cell Line,Suspension
910687,SIDM00233,1250,0.7739920473421197,65.87077742598775,2.238613948682329,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,Cell Line,Suspension
946357,SIDM00234,500,1.0919251158075218,47.30654765235648,3.107152495640843,Cervix,Other Solid Carcinomas,Cell Line,Suspension
946357,SIDM00234,625,1.0811080243135431,45.4087126580793,3.001323425229489,Cervix,Other Solid Carcinomas,Cell Line,Suspension
909974,SIDM00235,200,0.592516789565022,87.01823821310248,1.8731383461136901,Kidney,Kidney Carcinoma,Cell Line,Adherent
753608,SIDM00237,250,1.0634399159842192,49.75805570175848,3.0658429078923506,Lung,Lung Adenocarcinoma,Cell Line,Adherent
909250,SIDM00239,500,0.4811784192147499,142.46390291059333,1.7278438556626818,Kidney,Kidney Carcinoma,Cell Line,Adherent
909256,SIDM00241,625,0.42645696933236105,95.61348574732341,1.59782947738086,Breast,Breast Carcinoma,Cell Line,Adherent
925345,SIDM00242,1250,0.10451304372867948,-36.03335984116765,1.183666323447297,Bone,Osteosarcoma,Cell Line,Adherent
910942,SIDM00243,150,1.0712649798105252,46.47565824413634,3.0165418421518035,Testis,Other Solid Carcinomas,Cell Line,Unknown
910942,SIDM00243,625,0.403852296939653,134.9983263216443,1.5478542290793476,Testis,Other Solid Carcinomas,Cell Line,Unknown
908440,SIDM00244,300,0.7784721860602472,64.20113442209968,2.2300487590870066,Peripheral Nervous System,Neuroblastoma,Cell Line,Adherent
753594,SIDM00245,625,0.8303174815620904,64.85235388021238,2.3854133671603823,Lung,Small Cell Lung Carcinoma,Cell Line,Suspension
925340,SIDM00247,250,1.4514308564007103,38.02101424389588,4.625254229377833,Stomach,Gastric Carcinoma,Cell Line,Adherent
753614,SIDM00249,312,0.9246552773439491,56.70598825322144,2.656566229252989,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Adherent
1503371,SIDM00250,1250,0.5343388178574546,92.78780123041425,1.7540684743960673,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Adherent
909770,SIDM00251,1250,0.6897805915000585,85.3335048087654,2.0988133248942726,Stomach,Gastric Carcinoma,Cell Line,Adherent
909769,SIDM00252,325,0.5083762981777739,4335.133387232785,1.8016558424260969,Biliary Tract,Biliary Tract Carcinoma,Cell Line,Adherent
949178,SIDM00256,625,1.2074165813128883,40.84479249008765,3.4192477601251032,Peripheral Nervous System,Neuroblastoma,Cell Line,Unknown
949177,SIDM00257,150,1.3452991948880548,36.68668291094855,3.9163020918474323,Peripheral Nervous System,Neuroblastoma,Cell Line,Unknown
949172,SIDM00258,1e3,0.24191850359512795,422.7012832788156,1.3317353155671436,Peripheral Nervous System,Neuroblastoma,Cell Line,Unknown
949171,SIDM00259,500,0.8419361084101441,60.481900152436694,2.383752634659955,Peripheral Nervous System,Neuroblastoma,Cell Line,Unknown
908139,SIDM00260,325,1.1389302456696493,46.25207733784725,3.2839310209551704,Stomach,Gastric Carcinoma,Cell Line,Adherent
949155,SIDM00261,325,1.4979317475042466,33.99155756883455,4.743058818706249,Bone,Ewing's Sarcoma,Cell Line,Unknown
949157,SIDM00262,300,0.7631376386144174,68.23142480263392,2.297718888146688,Bone,Ewing's Sarcoma,Cell Line,Unknown
684057,SIDM00263,1250,0.14085145784950154,309.531491714344,1.1749583454709234,Bone,Ewing's Sarcoma,Cell Line,Unknown
949156,SIDM00264,625,0.5537191687458961,139.98410497574724,1.9084265486509457,Bone,Ewing's Sarcoma,Cell Line,Unknown
949158,SIDM00266,325,1.5661324826031717,31.538779026275385,4.957675763941013,Bone,Ewing's Sarcoma,Cell Line,Unknown
910695,SIDM00267,500,0.8170485004618777,63.64509940909617,2.377784820349441,Biliary Tract,Biliary Tract Carcinoma,Cell Line,Adherent
910695,SIDM00267,1250,0.4711811066354611,99.72497374852334,1.6494506906895534,Biliary Tract,Biliary Tract Carcinoma,Cell Line,Adherent
684059,SIDM00269,625,1.1097954235069158,45.037748882398056,3.134349431958998,Bone,Ewing's Sarcoma,Cell Line,Unknown
908138,SIDM00271,325,0.7708091131792427,80.23377554982326,2.3124025195271436,Stomach,Gastric Carcinoma,Cell Line,Adherent
908122,SIDM00272,400,0.7980413311823283,66.04164571810838,2.3086756521831107,Breast,Breast Carcinoma,Cell Line,Adherent
906871,SIDM00273,300,0.3565269267943695,-134.76671429457454,1.5159011456872746,Central Nervous System,Glioblastoma,Cell Line,Adherent
906869,SIDM00274,150,0.863626761705716,65.69160295450125,2.5351178626675317,Stomach,Gastric Carcinoma,Cell Line,Adherent
906861,SIDM00276,150,1.3905718475101618,36.57022959309545,4.212406439222245,Biliary Tract,Biliary Tract Carcinoma,Cell Line,Unknown
906861,SIDM00276,300,0.552836374187662,86.53735971320339,1.780164537733937,Biliary Tract,Biliary Tract Carcinoma,Cell Line,Unknown
906861,SIDM00276,350,1.0357792304438993,48.60933210996738,2.95164963957751,Biliary Tract,Biliary Tract Carcinoma,Cell Line,Unknown
906856,SIDM00277,1250,1.0491647246044506,49.015298347214866,2.9852895874860472,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,Cell Line,Suspension
753555,SIDM00278,150,1.0852593980473366,49.15930515675094,3.1586279377701483,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Adherent
906849,SIDM00279,2500,0.2754635651928658,176.27471930391002,1.327262153624685,Stomach,Gastric Carcinoma,Cell Line,Adherent
906848,SIDM00280,1250,0.3666872387645541,141.42225000213463,1.4973718224946022,Stomach,Gastric Carcinoma,Cell Line,Suspension
910554,SIDM00282,625,0.7006822562581572,78.25452017242796,2.1206258079608773,Large Intestine,Colorectal Carcinoma,Cell Line,Adherent
949088,SIDM00283,625,1.341917113081783,36.982459807250684,3.9749596059639822,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,Cell Line,Suspension
906818,SIDM00284,325,0.8037536168692783,67.27222630261997,2.3663575517815483,Skin,Melanoma,Cell Line,Adherent
910941,SIDM00285,1250,0.3589817753566336,139.690611770325,1.4592016224437514,Peripheral Nervous System,Neuroblastoma,Cell Line,Adherent
910705,SIDM00287,1250,1.3790921161116636,39.18793316942701,4.4660122443852845,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,Cell Line,Suspension
949153,SIDM00289,1e3,1.1382734056496022,47.18667622702507,3.3098667506758557,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,Cell Line,Suspension
907055,SIDM00290,150,1.789085384445611,29.54093770383678,6.7950401654694,Stomach,Gastric Carcinoma,Cell Line,Adherent
907055,SIDM00290,625,0.9852220891320332,49.44330270659242,2.7438724164569015,Stomach,Gastric Carcinoma,Cell Line,Adherent
907058,SIDM00291,200,1.0017616818590043,51.5323584029569,2.8419863391094173,Skin,Melanoma,Cell Line,Adherent
753589,SIDM00292,1500,0.22672664741872647,232.54750641889538,1.2721796013469797,Lung,Small Cell Lung Carcinoma,Cell Line,Suspension
713878,SIDM00293,1250,0.5742356037029134,85.23135976951816,1.8283154901280374,Lung,Small Cell Lung Carcinoma,Cell Line,Suspension
713899,SIDM00294,1250,0.8317573978904959,60.13181786184492,2.3574850538958594,Lung,Small Cell Lung Carcinoma,Cell Line,Semi-Adherent
925343,SIDM00299,500,0.6829380992122701,5.465861822869994,2.2275621528439515,Soft Tissue,Other Solid Carcinomas,Cell Line,Adherent
1298223,SIDM00300,500,0.21618957460221128,-77.05720273525475,1.3477745755153403,Lung,Squamous Cell Lung Carcinoma,Cell Line,Adherent
753572,SIDM00301,400,1.0222280682383156,50.16368038981343,2.9404996344761862,Pancreas,Pancreatic Carcinoma,Cell Line,Adherent
924186,SIDM00302,325,1.1393965870168161,44.16386730737371,3.3152789370567697,Ovary,Other Solid Carcinomas,Cell Line,Adherent
910779,SIDM00306,1250,-0.0034582553974427713,130.89803245855416,1.049174682844185,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Adherent
907311,SIDM00308,1250,0.6008923500799577,88.0117273816748,1.8909564382179616,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,Cell Line,Suspension
1240137,SIDM00311,500,0.30790380261269173,146.1226894226022,1.4071114674417358,Lung,Mesothelioma,Cell Line,Unknown
924239,SIDM00312,1250,1.0363138231339888,49.36034062989753,2.954733466433214,Haematopoietic and Lymphoid,Plasma Cell Myeloma,Cell Line,Suspension
1330935,SIDM00313,1250,0.4752840466693861,125.04618569065832,1.6495240490257852,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,Cell Line,Unknown
998207,SIDM00314,500,0.36372983585023805,149.47140827646663,1.4984116052419898,Breast,Breast Carcinoma,Cell Line,Unknown
909905,SIDM00316,325,0.7752216428832523,73.72607976464688,2.366187221502234,Central Nervous System,Glioblastoma,Cell Line,Unknown
909781,SIDM00317,625,0.3214521787396852,56.72208312196762,1.5036944494168394,Kidney,Kidney Carcinoma,Cell Line,Unknown
713869,SIDM00320,1e3,0.638914345526622,84.6958749993,1.9739176008484904,Lung,Lung Adenocarcinoma,Cell Line,Unknown
909774,SIDM00321,300,0.9876197747758412,52.8529757726924,2.7847711726323183,Ovary,Ovarian Carcinoma,Cell Line,Unknown
1299064,SIDM00322,325,0.9962610837216994,51.7691508822254,2.8672330188045074,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
1331045,SIDM00323,2500,0.7509464520512976,66.65513798340275,2.171105308470722,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,Cell Line,Unknown
910780,SIDM00324,625,1.1984937613050912,44.51651609786693,3.5529856497601133,Peripheral Nervous System,Neuroblastoma,Cell Line,Unknown
946353,SIDM00325,400,0.5272939104913155,145.37415481390744,1.8014551897932987,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
753623,SIDM00326,325,1.1085290503323448,44.44198817056038,3.091695956596864,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
907322,SIDM00327,400,1.0599575949664728,56.10777620794237,3.2017543321554536,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,Cell Line,Suspension
946355,SIDM00328,325,0.8614232323708143,65.01669297507173,2.524866213912261,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
907323,SIDM00329,1250,0.5825972071669295,86.85505603545714,1.8375083361874205,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,Cell Line,Suspension
908132,SIDM00331,3e3,0.4154071103415052,308.0157282860704,1.5667612518607539,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,Cell Line,Suspension
910948,SIDM00332,450,0.3505321392901443,173.64104859288292,1.459407874885327,Breast,Breast Carcinoma,Cell Line,Adherent
910948,SIDM00332,625,0.4810563469439197,146.95498547057258,1.7084923431444543,Breast,Breast Carcinoma,Cell Line,Adherent
1240174,SIDM00333,1250,0.3675338674895759,-14.55654315734094,1.5180501491703184,Endometrium,Endometrial Carcinoma,Cell Line,Adherent
908130,SIDM00334,1e3,0.23652336123996875,-397.25906003343846,1.3451989856853857,Endometrium,Endometrial Carcinoma,Cell Line,Adherent
908129,SIDM00335,625,0.5399715393907192,-1003.8872543417755,1.8131746469825205,Endometrium,Endometrial Carcinoma,Cell Line,Adherent
908125,SIDM00336,1e3,0.7159222568894948,100.07854086818482,2.1680162821308793,Skin,Melanoma,Cell Line,Adherent
1330942,SIDM00338,2500,0.08153414273979305,2739.656737188798,1.1111012376721576,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,Cell Line,Suspension
753592,SIDM00339,150,1.1272335592396139,43.8088370637267,3.182377957267684,Lung,Lung Adenocarcinoma,Cell Line,Adherent
1298226,SIDM00341,300,0.6812318314720652,83.98467008063513,2.0835049063606896,Lung,Squamous Cell Lung Carcinoma,Cell Line,Adherent
907789,SIDM00342,1500,0.632574100879907,81.20068376671738,1.92990631871642,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,Cell Line,Suspension
910694,SIDM00343,625,0.433916030764947,2843.1544814944655,1.6828757244085342,Central Nervous System,Glioblastoma,Cell Line,Adherent
946361,SIDM00344,400,0.996171936435257,51.222799278968424,2.813798155713641,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Adherent
753586,SIDM00345,150,0.8107594447061601,61.30174939049229,2.310961206165188,Lung,Non-Small Cell Lung Carcinoma,Cell Line,Adherent
907783,SIDM00346,625,1.1364448029000471,44.62497090243663,3.2410513518778115,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,Cell Line,Suspension
735784,SIDM00347,325,0.9173783896841265,55.89308538440708,2.629696081634104,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
753622,SIDM00349,200,1.0514896319897138,46.56446683116001,2.946148392592593,Esophagus,Esophageal Squamous Cell Carcinoma,Cell Line,Unknown
1299050,SIDM00350,500,0.4747117766458611,107.66451937010713,1.6597255988417865,Head and Neck,Head and Neck Carcinoma,Cell Line,Unknown
909708,SIDM00351,200,1.3845279985781427,36.363038235417335,4.119485740048939,Head and Neck,Oral Cavity Carcinoma,Cell Line,Unknown
909699,SIDM00352,625,0.4920113099639466,326.74530580772387,1.7681938940988262,Ovary,Ovarian Carcinoma,Cell Line,Unknown
