Gene,pearson
WDR36,-0.2117
IMPDH2,-0.21166
SCO2,-0.21112
SPRED2,-0.21105
SRPRB,-0.21047
FDXR,-0.21017
SRFBP1,-0.20997
TSR3,-0.20995
ODF2,-0.20823
GNL3,-0.20802
DDX49,-0.20784
EXOSC4,-0.20758
A1BG,-0.20667
ALG2,-0.20659
NOL12,-0.20643
CD3EAP,-0.20615
PPWD1,-0.20562
NELFCD,-0.20538
PSMG4,-0.20522
GTF3C3,-0.20495
GFM2,-0.2042
NDOR1,-0.20407
ZNF519,-0.20397
ILF2,-0.20376
PKM,-0.20374
WDR75,-0.20373
GEMIN7,-0.20336
NIFK,-0.20321
DDX10,-0.20196
TKT,-0.20143
PHB2,-0.20129
AAMP,-0.20129
RPL37A,-0.20046
SRP19,-0.20043
ZWINT,-0.20037
HDHD3,-0.20018
RPL23,-0.2
TTI1,-0.19998
GTPBP10,-0.19991
ZCRB1,-0.19983
RPL27A,-0.19944
DDX27,-0.19938
TOE1,-0.19844
TOP3A,-0.19807
DPH6,-0.19752
ELP2,-0.19751
RPL30,-0.19743
MRPS17,-0.19733
MYC,-0.19721
FAM98B,-0.1971
RPS21,-0.19669
UTP20,-0.19649
EXOSC7,-0.19606
CMTR2,-0.19605
SRPK1,-0.19481
XRCC2,-0.19406
TAF1A,-0.19351
VPS45,-0.19346
SH3GL1,-0.19325
DPY30,-0.193
PLEKHH3,-0.19288
PGS1,-0.19283
TTYH1,-0.1923
FARSA,-0.19205
CENPA,-0.192
EEF2,-0.19168
COPS5,-0.19147
METAP1,-0.19133
C10orf2,-0.19116
VARS,-0.19086
GTPBP3,-0.19065
MRPS33,-0.19058
GEMIN4,-0.19053
EIF4E,-0.19038
RABGGTB,-0.19036
RAD9A,-0.19036
SLC22A11,-0.19006
CDK9,-0.18969
C1orf109,-0.18961
RRS1,-0.18957
C1orf131,-0.18954
WARS2,-0.18943
DDX1,-0.18931
MAK16,-0.18881
VEZT,-0.1888
PHB,-0.18873
CSTF1,-0.18858
UTP18,-0.18821
NMT2,-0.18814
MRPL22,-0.18799
DUSP12,-0.18794
RASA2,-0.18774
CEP57,-0.18772
MTHFD1,-0.18759
SPATA5,-0.18741
ATPAF2,-0.18733
RFC4,-0.18731
DNAL4,-0.18728
BCS1L,-0.18724
UMPS,-0.18693
TRIAP1,-0.18691
TMEM126B,-0.1867
POLD2,-0.18664
UTP15,-0.18654
ORC5,-0.18626
MECR,-0.18594
ZWILCH,-0.18591
RPP25L,-0.18581
LETM1,-0.18569
SACM1L,-0.18558
AASDHPPT,-0.18548
SOWAHC,-0.18547
MYH9,-0.18532
PES1,-0.18518
MDM4,-0.18517
RMI2,-0.18508
NCBP2,-0.18485
MAD2L1,-0.18441
RPS5,-0.18429
KCNE3,-0.18409
ALG1,-0.18403
NDUFA4L2,-0.18395
TESK2,-0.18387
KIF23,-0.1837
MTG2,-0.18356
LYRM4,-0.18347
ABT1,-0.18347
MRPL20,-0.1834
MTG1,-0.18335
DARS,-0.18328
RARS,-0.18322
METTL1,-0.18179
WDR12,-0.18123
POLR1C,-0.18115
TNFSF13,-0.18112
MRPS15,-0.18108
ERCC3,-0.1808
RPL38,-0.18055
SPRR2F,-0.18051
MRPL44,-0.18014
SLMO2,-0.18013
C10orf82,-0.18009
CMPK1,-0.1796
ZNHIT3,-0.17955
CCT8,-0.17951
ILF3,-0.17948
MRPL28,-0.17945
POLR3C,-0.17944
SUPT4H1,-0.17912
ATP1B3,-0.17898
MTX2,-0.17871
CD163L1,-0.17858
EXOSC2,-0.17772
NUBP1,-0.17738
TTC27,-0.17721
PNO1,-0.17657
RPS23,-0.17652
MOCS3,-0.17643
PTBP1,-0.17607
PADI4,-0.17607
CFL1,-0.17606
TOMM22,-0.176
TWISTNB,-0.17562
SPOCK2,-0.17524
TUBE1,-0.17448
APOBEC3C,-0.17436
CEP152,-0.17421
KNTC1,-0.17421
OLA1,-0.17413
PPARGC1A,-0.17395
BIRC5,-0.1736
RPL11,-0.17339
BOP1,-0.17312
CCDC115,-0.17296
TBCD,-0.17207
SNRNP25,-0.17207
HUS1,-0.17162
FARS2,-0.17061
PPCDC,-0.1705
SAA4,-0.17041
CD1E,-0.17032
EXOC6,-0.17015
NARS2,-0.16995
TIMM13,-0.1696
MIOS,-0.16957
DAD1,-0.16938
RBBP5,-0.16931
PPP4C,-0.16913
RPL8,-0.16895
CTPS1,-0.16873
LIME1,-0.16868
MRPS25,-0.16846
MEOX2,-0.16822
NRG1,-0.16822
PPA2,-0.16814
SLC25A3,-0.16808
COPE,-0.16807
ZNF846,-0.16803
RPF1,-0.16796
C21orf2,-0.16794
PELP1,-0.16773
CCL20,-0.16761
ARFRP1,-0.16725
IDH3A,-0.1672
DDX52,-0.16708
C14orf166,-0.16694
KLRK1,-0.16649
POLG,-0.16622
PARS2,-0.16609
XRN2,-0.16601
UPF3A,-0.16527
MPHOSPH6,-0.16515
SLC5A5,-0.16486
PRKRIP1,-0.16486
BLOC1S1,-0.16432
NMD3,-0.16409
LARS2,-0.16405
ADAT2,-0.16403
NOP9,-0.16388
CMTR1,-0.16382
UBTF,-0.16361
PNKP,-0.16358
WDR83,-0.16347
PTPMT1,-0.16322
CAMK2N1,-0.16312
TSEN15,-0.1631
ADAM29,-0.16243
PTTG2,-0.16221
TAF1C,-0.16219
DDB1,-0.16208
ATXN10,-0.16194
METAP2,-0.16155
RPS15,-0.16146
HRCT1,-0.16115
MMS19,-0.16113
DYNLL2,-0.16106
TFB1M,-0.16104
TIMM17A,-0.16092
OSGEP,-0.16087
MBTPS1,-0.16086
FAM96B,-0.16084
MRPL9,-0.16052
CCNK,-0.16047
RAB6A,-0.16026
NEO1,-0.16015
AKR1B10,-0.16007
SSBP1,-0.16
ACTR10,-0.15999
NCBP1,-0.15976
MRPS14,-0.15975
PITRM1,-0.15975
SSRP1,-0.1597
SIN3B,-0.1595
MAD1L1,-0.15948
IARS2,-0.15943
NME6,-0.15931
FBN2,-0.15929
CEP63,-0.15923
MRPL34,-0.15923
TAMM41,-0.15914
LARS,-0.15913
ABHD14B,-0.15913
SKIV2L,-0.159
HINT1,-0.15899
WDR77,-0.15895
HJURP,-0.15883
FNTB,-0.15863
CLEC12A,-0.15851
FAM167B,-0.15845
SLIT2,-0.15824
TONSL,-0.15808
ATAD5,-0.15781
FLCN,-0.15745
GLMN,-0.15742
RBM19,-0.15718
WRAP53,-0.15714
ZNF236,-0.1571
NMT1,-0.15706
TOMM70A,-0.15706
DTYMK,-0.15699
ATIC,-0.15693
AURKAIP1,-0.15663
C15orf48,-0.15642
DDX47,-0.15638
TRUB2,-0.15628
CXCL2,-0.15608
MCMBP,-0.15587
MRPS30,-0.15586
DOLK,-0.15572
QRSL1,-0.15557
MRPL52,-0.15549
MRPS26,-0.15538
FKBP2,-0.15535
ORC2,-0.15511
TUBB2B,-0.15489
MRPS7,-0.15475
TRAPPC3,-0.15474
RPS20,-0.15459
GRXCR2,-0.15455
PISD,-0.15451
NLRP11,-0.15445
TTC23,-0.15427
UNKL,-0.15416
MRPL38,-0.1541
TRNT1,-0.15408
LSG1,-0.15404
C1orf234,-0.15372
PGD,-0.15369
PRMT1,-0.15365
RAD51D,-0.15362
ZNF622,-0.15359
LGMN,-0.15356
ASNS,-0.15344
TMCO4,-0.15344
PID1,-0.15344
LPCAT4,-0.15344
ACY1,-0.1533
PPP2R2A,-0.15328
FASTKD5,-0.15319
WRAP73,-0.15302
C11orf30,-0.15265
TEN1,-0.15256
E4F1,-0.15249
WDR24,-0.1523
RAB35,-0.15226
TTI2,-0.15208
PDK4,-0.15195
C1orf56,-0.15192
GRAMD4,-0.15188
GPR22,-0.15149
CDK7,-0.15148
PLA2G2A,-0.15141
WDR92,-0.15139
OTUB2,-0.15126
HBE1,-0.15125
KDSR,-0.15118
GET4,-0.1511
PGLS,-0.151
SDR16C5,-0.15099
RPS15A,-0.15098
MPND,-0.15083
EPHA8,-0.15064
MC4R,-0.15064
FANCC,-0.15061
IRF2BP1,-0.1505
FOXR1,-0.1505
COX14,-0.15045
FAR1,-0.15039
UTP6,-0.15026
RNF20,-0.15024
EIF3F,-0.14999
ATP6V0E1,-0.14992
NDUFV1,-0.1498
GLB1L,-0.14979
MRRF,-0.14965
SSB,-0.14932
PDLIM2,-0.14899
TBL3,-0.14894
TAS2R13,-0.14888
DHX35,-0.14856
SLCO1B1,-0.14846
GADD45GIP1,-0.14844
RPL18,-0.14841
GPR32,-0.14831
LILRB2,-0.14827
ADSL,-0.14825
CEP120,-0.14816
UFSP2,-0.14807
TIMM22,-0.1479
RNASEH2C,-0.14749
ANAPC16,-0.14744
MRPL24,-0.14734
SLC1A4,-0.1473
GTF3C2,-0.14689
ELP3,-0.14682
EIF2D,-0.14668
GTPBP8,-0.14667
RAB3GAP1,-0.14657
WARS,-0.14657
KIRREL,-0.14645
HLTF,-0.14645
EXOSC6,-0.14642
PYHIN1,-0.1461
NRF1,-0.146
CD300LG,-0.14596
ABCE1,-0.14595
CASP2,-0.14579
FAM53C,-0.14573
CABYR,-0.14569
RNF145,-0.1456
CDIP1,-0.14546
MCM2,-0.14545
COA3,-0.14541
KRT85,-0.14527
CSRP2,-0.14521
AHSA1,-0.14511
GFM1,-0.14507
PELO,-0.14507
ALDOA,-0.14491
STXBP5,-0.1449
MOB3B,-0.14488
COQ3,-0.14487
HSPG2,-0.1448
MAGOH,-0.14478
PRR25,-0.14476
MCM3,-0.14473
SEMA3D,-0.14472
DPYSL3,-0.14443
KRT33B,-0.14426
SELPLG,-0.14421
UBE2D3,-0.14389
KCTD6,-0.14382
EXOC5,-0.14376
NOM1,-0.14373
UTP23,-0.14364
OAF,-0.14343
ARIH1,-0.1434
ACOX2,-0.14323
CPSF1,-0.14308
NSUN5,-0.14303
MRPL23,-0.14289
HSPD1,-0.14282
DDR2,-0.14273
ENY2,-0.14269
FNTA,-0.14256
IL7R,-0.14233
ANP32A,-0.14206
ZNF441,-0.14199
HSPA14,-0.14195
TBPL1,-0.14177
EIF4EBP2,-0.14175
NAE1,-0.14172
CDAN1,-0.14171
DDX31,-0.14162
DNAJC4,-0.14158
FAM43B,-0.14153
PLAUR,-0.14147
SPIB,-0.14147
CIRH1A,-0.14146
RFC2,-0.14144
TPSG1,-0.14138
LSM3,-0.14135
WDR37,-0.14127
EQTN,-0.14127
RNF186,-0.14124
ACTR6,-0.14122
PPP1R21,-0.1411
PITPNM1,-0.14082
PDZK1,-0.14076
C12orf4,-0.14067
UBXN6,-0.14041
MCAT,-0.14033
MEF2A,-0.14027
RTTN,-0.14009
EXOC3,-0.14008
POLR3K,-0.14004
AHSG,-0.14003
SURF2,-0.13993
RPIA,-0.13991
CYTIP,-0.1399
CENPP,-0.13983
MT1H,-0.13979
CAGE1,-0.13978
MRPL3,-0.13969
MNAT1,-0.13947
MC2R,-0.1394
PEG3,-0.13925
COA6,-0.13908
NIP7,-0.13896
ARHGAP27,-0.13896
POT1,-0.13891
SLC35B1,-0.13887
CDS2,-0.13878
CAMLG,-0.13861
RPP40,-0.13849
CHCHD3,-0.13842
PPP2R4,-0.1384
SLC25A26,-0.13826
UBXN2B,-0.13811
NT5DC3,-0.13793
RMI1,-0.13782
SPEF2,-0.13774
TSEN54,-0.1377
NEDD8,-0.13759
CPSF3L,-0.13754
IFI44L,-0.13716
MEOX1,-0.13711
RANGAP1,-0.13694
CASP1,-0.13689
TMEM156,-0.13683
EPRS,-0.13672
GNL2,-0.1367
TMX2,-0.13666
POLR3A,-0.13665
CA13,-0.13661
DAB2IP,-0.1366
URM1,-0.13657
TSPAN3,-0.13653
NOP58,-0.13648
MCM5,-0.13634
PLSCR1,-0.13626
TXN,-0.13618
PPP2R5E,-0.13614
PGPEP1L,-0.13612
EMC2,-0.13606
BMP10,-0.13604
GREB1L,-0.13597
TRAPPC5,-0.13578
PLEKHB2,-0.13567
RNF40,-0.13565
POLR3H,-0.13563
GOLT1B,-0.13555
MRPL2,-0.13551
TRIP10,-0.13547
HP1BP3,-0.13546
RPLP0,-0.13534
GSS,-0.13533
PPCS,-0.13515
TXN2,-0.13514
C11orf52,-0.13501
GPI,-0.13498
TSEN34,-0.13483
LZTR1,-0.13483
PCDHGC4,-0.13475
UHMK1,-0.13474
TREML1,-0.13471
CCNH,-0.13452
MBD4,-0.1345
RBM18,-0.13447
TFB2M,-0.13442
ABCC2,-0.13438
PUS3,-0.13417
C12orf45,-0.13414
EXOSC10,-0.13409
KRT72,-0.13405
PCYT2,-0.13405
E2F4,-0.13393
PPIL3,-0.13383
ACER1,-0.13377
URB1,-0.13373
PIWIL1,-0.13373
HSPA8,-0.13372
EXOSC3,-0.13359
SUMO3,-0.13341
TMEM244,-0.1334
WDR4,-0.13337
FAM162A,-0.13333
C7orf57,-0.13329
ALG14,-0.13327
TUBG1,-0.13324
PRSS22,-0.13315
PLK2,-0.13314
CSDC2,-0.13309
IFNL3,-0.13301
POLG2,-0.13298
COX16,-0.13276
STARD6,-0.13271
DOCK2,-0.1326
SOD1,-0.13249
FAM188A,-0.13246
SPAG7,-0.13243
ROPN1B,-0.13214
HIST1H2BO,-0.13206
OSGIN2,-0.1319
RAB3IL1,-0.13188
ROCK2,-0.13171
HEATR3,-0.13167
NUDT5,-0.13164
TMEM132B,-0.13162
NFATC3,-0.13147
IGIP,-0.13135
CLEC1B,-0.13132
NANOGNB,-0.13124
ZNF865,-0.13112
BMS1,-0.13111
SNX16,-0.13108
SRMS,-0.13105
MRPL21,-0.13099
RAD1,-0.13092
DYRK4,-0.1309
RUNDC3A,-0.13088
SOGA3,-0.13067
MYPN,-0.13053
NCL,-0.13044
GATC,-0.13042
CDC37,-0.13039
RAE1,-0.13029
PDGFB,-0.13011
ING5,-0.13009
KLK7,-0.12981
RABL2B,-0.12981
RSPH10B,-0.12975
MAP3K1,-0.12972
OLR1,-0.12963
WDR55,-0.12958
ACPT,-0.12944
CDK6,-0.12932
ELF1,-0.12932
ALCAM,-0.12928
DENND5B,-0.12917
LYPD3,-0.12917
GDI2,-0.12908
DDX59,-0.12892
NTRK3,-0.12891
CCDC77,-0.1289
ANKRD18A,-0.12887
C16orf90,-0.12878
SPRR1A,-0.12869
C3orf17,-0.12865
APOBEC3D,-0.12864
WDR61,-0.12863
C19orf48,-0.1286
YLPM1,-0.12854
MRPS24,-0.12853
FUT8,-0.12849
SNRK,-0.1284
PGGT1B,-0.12835
KLRD1,-0.12834
IRGC,-0.12821
TCTN3,-0.12815
CEP135,-0.12812
GPN2,-0.12795
PACS1,-0.1279
HLA-DMA,-0.12788
GPHA2,-0.12787
CCDC113,-0.12786
ERCC1,-0.12785
DMRTC2,-0.1278
SCNN1A,-0.12779
NOS1,-0.12779
RPUSD4,-0.12778
GAR1,-0.12777
CD247,-0.12775
SDS,-0.12773
TUBD1,-0.1277
CDR2L,-0.12765
KIAA0020,-0.12761
GMPS,-0.12755
CBX6,-0.12749
GTF2E1,-0.12738
TOMM6,-0.12736
ARMC7,-0.1273
FTSJ3,-0.12721
RAD51B,-0.12709
CORO1C,-0.12703
C11orf85,-0.12698
ZBTB41,-0.12698
NAA20,-0.12692
SYNC,-0.12686
PTP4A2,-0.12682
GMPPB,-0.12659
HLA-DMB,-0.12647
MTFMT,-0.12645
ACSL3,-0.12642
TRAF3IP2,-0.1262
EMC8,-0.12612
LENG9,-0.1261
ZNF845,-0.12604
NUTM2G,-0.12595
FIP1L1,-0.12594
KCNU1,-0.12564
CEP55,-0.12561
COMMD5,-0.12555
ZNF700,-0.12551
ACACA,-0.12529
FAM217B,-0.1252
MRPL40,-0.12511
CWH43,-0.12509
BCCIP,-0.12508
RAD51C,-0.12496
PKNOX2,-0.12495
LIPT2,-0.1249
ZNF264,-0.12489
UQCRC2,-0.12475
COG1,-0.12468
CD59,-0.12468
SLC8B1,-0.12465
ATP5SL,-0.12461
MDN1,-0.1245
HPS5,-0.12449
LILRA6,-0.12442
CLEC9A,-0.12436
TMEM255B,-0.12433
UBE2F,-0.12432
TAS2R14,-0.12427
ZNF629,-0.12413
LY86,-0.1241
POLR1A,-0.12402
ZNF581,-0.12402
SYTL2,-0.12398
LMF1,-0.12393
SYNPO2L,-0.12386
PYROXD1,-0.12384
MRPL19,-0.12378
LEO1,-0.12378
SLFN5,-0.12374
POLRMT,-0.12369
AOC3,-0.12368
RAD54L2,-0.12365
LRG1,-0.12365
EMR3,-0.12364
IFITM5,-0.12358
DIS3L2,-0.12354
SLC28A1,-0.12354
FARSB,-0.1235
KLRC1,-0.12341
RPL34,-0.12339
CYC1,-0.12327
TBC1D19,-0.12322
YARS,-0.12319
PUS1,-0.12318
ITSN2,-0.12317
FAM71D,-0.12311
LGALS7B,-0.12309
SMIM20,-0.12304
MPHOSPH10,-0.12303
C19orf80,-0.12301
PTPN12,-0.12291
MRPL54,-0.12277
FBXO10,-0.12276
MRVI1,-0.12276
CSE1L,-0.12273
ADCK1,-0.12271
SLC12A2,-0.12253
WDR89,-0.12253
WDR1,-0.12246
RBM7,-0.12243
SCO1,-0.12239
UBA3,-0.12237
RPL7,-0.12233
TUBA1A,-0.12217
CA9,-0.12215
TPCN1,-0.1221
ADCY1,-0.12209
HIPK3,-0.12209
MRPL47,-0.12206
RPRD1B,-0.12198
CCK,-0.12177
EIF4A1,-0.12176
KRTAP21-2,-0.12175
TMEM147,-0.12164
OPN3,-0.12162
GTF2H3,-0.12152
POTEE,-0.1215
CPSF2,-0.12144
NCOA7,-0.1214
SSTR1,-0.12138
EGR3,-0.12135
HMOX2,-0.12131
NDUFA13,-0.12121
FZD10,-0.12114
BRD1,-0.12108
MRPS2,-0.12099
GAS8,-0.12099
LONP1,-0.12085
CWC27,-0.12077
KCNAB1,-0.12073
GCN1L1,-0.12071
BLOC1S6,-0.12071
HTRA2,-0.12069
ERI3,-0.12065
ZFYVE27,-0.12057
TEFM,-0.12054
RSL24D1,-0.12053
SPEG,-0.12052
MDH2,-0.1205
AIFM2,-0.1205
FAM184A,-0.12049
DIP2C,-0.12041
MRPL46,-0.12039
CXCR5,-0.12039
VGLL2,-0.12028
TREML4,-0.12017
TTC37,-0.12006
PTEN,-0.12003
IKZF2,-0.11998
PARD3B,-0.11998
PTPN14,-0.11996
POLR1B,-0.11986
GSR,-0.11971
RBFA,-0.11966
TXNRD1,-0.11963
RPL10L,-0.11961
AGK,-0.11956
GLT1D1,-0.11953
TRHR,-0.11949
TCF25,-0.11933
SHMT1,-0.11928
HTR3E,-0.1192
WWP1,-0.11912
WRN,-0.1191
RTP1,-0.11907
SLC4A7,-0.11905
IRAK4,-0.119
CTU1,-0.11893
MVD,-0.11888
MAPK6,-0.11888
ZC2HC1A,-0.11887
MS4A7,-0.11877
PPP1R3D,-0.11869
RNASEH2B,-0.11859
COPS4,-0.11858
ZNF415,-0.11856
EML4,-0.11853
ABCA5,-0.11851
G6PC3,-0.11832
NETO2,-0.11828
CACNA2D2,-0.11826
ACVR2A,-0.11823
NEK1,-0.11822
NDUFAF6,-0.11821
CNTNAP1,-0.11812
CTSE,-0.11807
PEAK1,-0.11806
UBE3B,-0.11805
RPL12,-0.11803
FAF1,-0.11798
NOLC1,-0.11792
EBF1,-0.11791
CD19,-0.11783
CCDC25,-0.1178
GHR,-0.11777
AKR1C2,-0.11776
NGRN,-0.1177
BRIP1,-0.11765
FMO5,-0.11763
CCR1,-0.11762
WDR34,-0.11761
RPTOR,-0.11759
CMIP,-0.11755
DDX20,-0.11752
S100A14,-0.11744
TUBA3E,-0.11743
SMCP,-0.1174
SERPINB10,-0.11737
STX8,-0.11728
PDCD11,-0.11727
PHOSPHO2,-0.11722
TMEM199,-0.11715
RPS3,-0.11709
GAL3ST3,-0.11708
CHGA,-0.11706
FEN1,-0.11702
SLIRP,-0.11694
FOXB1,-0.11693
SEMA4B,-0.11693
MALSU1,-0.1169
MGAT2,-0.11683
C2CD4A,-0.11678
C1orf27,-0.11673
KRT24,-0.11669
ERO1LB,-0.11663
OXSM,-0.11661
RIMBP2,-0.11658
APOBEC3A,-0.11646
CLEC4C,-0.11643
TFAM,-0.11641
ST20,-0.11633
TUBB3,-0.1163
GRB14,-0.11624
WDFY2,-0.11618
RTCA,-0.11617
PCDHGA11,-0.11614
MYL4,-0.11614
KIAA0753,-0.11612
HSPA4L,-0.11611
C14orf159,-0.11594
MGMT,-0.11587
KIF9,-0.11575
MYOZ2,-0.11572
AP1M1,-0.1157
SMARCA5,-0.11556
TBCB,-0.11555
ZNF675,-0.11552
SPIDR,-0.11551
MOXD1,-0.11545
RAP1GDS1,-0.11541
THAP4,-0.11539
RUFY3,-0.11539
FPR2,-0.11534
AMZ2,-0.11528
TIMM50,-0.11517
PCBP4,-0.1151
CLDN16,-0.11504
LCE3B,-0.11497
TNS4,-0.11495
XKR3,-0.11486
TAPBP,-0.11478
HIST1H3I,-0.11478
MTIF2,-0.11477
RTEL1,-0.11476
KRTAP19-4,-0.11472
TRDN,-0.11472
ZNF665,-0.11471
C20orf197,-0.11468
BCL9L,-0.11465
APIP,-0.11462
POPDC2,-0.11456
SHANK1,-0.11456
GOT2,-0.11453
CLEC2B,-0.11449
CTNNBL1,-0.11439
VDAC3,-0.11435
H2AFZ,-0.11435
CBLC,-0.11432
TCP10,-0.11429
KIAA1522,-0.11424
FAM208A,-0.11424
MRPS35,-0.11423
DNMT1,-0.11421
ZNF226,-0.1142
ACTL6A,-0.11404
ZNF497,-0.11394
DNAJC22,-0.11391
PIK3C2G,-0.1139
FMNL1,-0.11385
CCDC12,-0.11382
ZSCAN29,-0.11382
TMIGD2,-0.1138
SSU72,-0.11372
MORF4L1,-0.11371
METTL14,-0.1137
METTL7B,-0.11367
S100A10,-0.11365
RUNDC1,-0.11363
BRI3BP,-0.11359
LIG3,-0.11354
CD70,-0.11354
NR2F6,-0.11346
CAAP1,-0.11342
FYCO1,-0.11336
DAP3,-0.11333
LTV1,-0.11332
BHLHE40,-0.11331
TOMM20L,-0.11329
HGF,-0.11328
ZBP1,-0.11326
MTCH2,-0.11322
TAF1D,-0.11317
TCP10L2,-0.11307
GNG10,-0.11301
LCAT,-0.11296
NAF1,-0.11289
TRAM1L1,-0.1127
ADAM15,-0.1127
MRPS18B,-0.11269
VPS72,-0.11257
PRDM2,-0.11252
XKR9,-0.11248
QARS,-0.11239
HNRNPAB,-0.11237
CDC16,-0.11235
CRLS1,-0.11234
PLEKHA4,-0.11221
CAB39,-0.11219
RTFDC1,-0.11219
CXXC1,-0.11216
CNTNAP3B,-0.11201
RFPL2,-0.11199
PNMA2,-0.11199
SPPL2A,-0.11196
TAF10,-0.11196
TXNDC16,-0.11195
EFHD2,-0.11195
MRPS27,-0.11186
ANKRD65,-0.1118
PCDHGA6,-0.11179
MRPL18,-0.11176
ERAL1,-0.11157
ZNF256,-0.11153
ATAD1,-0.11153
RNF166,-0.11145
ZNF543,-0.11144
TTC16,-0.11143
IRF8,-0.11141
MRPL39,-0.11135
CTNNB1,-0.11126
LEAP2,-0.11124
LCN12,-0.11119
ATP5H,-0.11115
RPS6KA2,-0.11115
TRDMT1,-0.11113
PLK4,-0.1111
MTF1,-0.11108
PARN,-0.111
TCTEX1D4,-0.11096
COX5A,-0.11094
EIF1AD,-0.1109
WDR48,-0.11073
CDK10,-0.11054
AQP5,-0.11051
TPI1,-0.11051
ABCA6,-0.11051
COPS2,-0.11046
NDUFB1,-0.11046
LGALS7,-0.1104
TMEM161B,-0.11027
NPM2,-0.11026
PRR19,-0.11026
MAT2B,-0.11024
BAG4,-0.11022
DROSHA,-0.11017
MORN4,-0.11016
MAN2B1,-0.11008
POU2F1,-0.11006
GSX2,-0.11004
LDLRAP1,-0.11004
MOCS1,-0.11003
EIF3L,-0.11003
ZNRD1,-0.11001
AFF1,-0.10998
DEPDC1B,-0.10997
DIRC1,-0.10997
RMDN1,-0.10996
A4GNT,-0.1099
MYSM1,-0.10988
ZNF394,-0.10982
MRPS12,-0.10976
C1QL4,-0.10974
PPM1F,-0.10965
E2F2,-0.10956
DENND2C,-0.10951
DPH2,-0.10941
IZUMO1,-0.1094
CIAO1,-0.10937
XRCC5,-0.10929
RPS8,-0.10928
SLC22A23,-0.10928
ERVW-1,-0.10926
DET1,-0.10916
AKIP1,-0.10914
DDX28,-0.10909
FCGR3B,-0.10906
ZNF559-ZNF177,-0.10898
MURC,-0.10892
ASCC1,-0.10881
IDI1,-0.10877
ELP4,-0.10876
