Gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ZC2HC1C,-1.33918,-0.06883,-0.04823,-0.13374,0.16182,0.23136,0.2072,-0.46962,-0.38698,-0.00371
LYPD6,-1.17972,0.33524,0.03694,0.14007,0.3131,-0.25267,0.05796,0.02492,-0.13878,0.01648
SLC47A2,-2.7815,0.33095,0.10493,0.27593,0.03438,-0.16288,-0.12544,0.18224,-0.1593,0.13629
CAMK2D,-3.20831,0.07719,1.02307,-0.14687,0.32115,-0.21985,-0.21582,-0.01598,0.15007,-0.20608
LY86,-2.4311,-0.35396,-0.04732,-0.42043,-0.14176,0.31476,-0.06359,-0.27577,-0.07348,-0.15811
ZNF555,-2.60384,-0.60169,1.38182,-0.11916,-0.65466,0.015,-0.03605,-0.09668,-0.20148,0.4509
ENTPD8,-1.88366,0.10521,0.10592,0.0804,-0.18815,0.1847,0.27334,-0.06725,0.12438,-0.11343
LEP,-0.92271,0.39553,-0.06072,0.14807,-0.09899,-0.09556,-0.45891,-0.2125,-0.17494,-0.26459
ZBTB8A,-2.10864,-0.16148,0.91116,-0.15679,-0.26389,0.04386,0.16744,-0.23945,0.19091,-0.25666
GYS2,-4.84819,0.46312,-0.49344,0.07108,-0.07253,-0.10146,0.07507,-0.0091,-0.0933,-0.00385
INSL5,0.77683,-0.43183,-0.93317,-0.30238,0.2627,0.05185,-0.29629,-0.39877,-0.3408,-0.34021
AADACL4,-2.70428,-0.0872,0.67263,0.07287,-0.00162,-0.17474,-0.11299,0.00302,-0.08038,0.03556
USP38,-1.75287,0.78827,-1.37587,0.44381,0.16585,-0.47516,-0.33183,0.32242,0.41301,-0.14113
LIMK2,-3.80269,0.26318,-0.68793,-0.05709,0.11322,-0.10077,-0.13817,-0.04665,0.01034,-0.22463
TSPAN17,-2.29214,0.61774,-0.81016,0.1054,0.6504,-0.24418,-0.25288,0.08439,0.02302,0.23117
KRTAP5-3,4.45616,-0.51698,0.39616,-0.30725,0.29451,-0.13032,-0.29145,-0.7186,-0.55454,-0.13117
DDI2,-0.14976,0.59464,-0.06582,-0.17232,0.13027,-0.20548,-0.00207,0.49642,0.75465,-0.58045
TMEM161A,-0.93701,-0.5143,-0.76138,0.01591,-0.35643,0.03573,-0.11031,-0.09453,0.00082,0.26643
NAV1,0.16902,0.20409,-0.70661,0.53753,-0.56111,-0.05168,-0.11246,-0.00345,0.017,-0.12883
GYPA,-1.19626,0.37791,0.44208,0.06663,0.25575,-0.1116,0.15235,-0.12937,-0.1349,0.07584
MAST3,-0.97438,0.53186,-0.04123,0.28313,0.27577,-0.10332,0.00903,0.01427,0.02574,-0.19304
HEPACAM2,-2.12776,0.08301,-0.23826,0.04316,0.16733,-0.19263,-0.13272,0.00521,0.11688,0.15505
HIF3A,-2.69096,-0.49884,0.3075,-0.14017,-0.21035,-0.26443,0.29801,0.04601,0.17451,-0.11198
ADAMTS20,-1.39739,-0.80228,-0.27878,-0.19305,-0.32243,0.17538,-0.04749,-0.26546,-0.33296,0.02276
STAT6,-1.9501,0.33753,0.0348,0.1281,0.30124,-0.36617,-0.18422,-0.12253,-0.22839,0.20661
CDRT1,1.12973,-0.58803,-0.90467,-0.07483,0.24561,-0.06892,-0.43928,-0.11604,-0.01322,0.06276
XKR3,-1.78195,-1.16707,1.01355,-0.59102,0.10425,-0.07699,0.01204,0.13599,0.27021,0.2921
DPYSL4,-2.4166,0.6209,-0.96566,0.2247,0.12409,-0.0498,0.12213,-0.0556,0.00303,0.48079
USP50,-2.42415,0.20965,0.10185,0.25111,0.43718,-0.10175,-0.31854,-0.12025,-0.28769,-0.01783
OPTC,-1.85519,0.14569,-0.19896,0.07742,-0.12004,0.29069,0.11732,0.14045,-0.01435,0.05052
RETNLB,-1.11141,0.61685,-0.16285,0.03255,-0.17413,0.12106,-0.04295,-0.16342,-0.23485,-0.02125
IFNAR1,-3.86156,-0.06085,0.8922,0.08615,-0.02589,0.42542,0.03745,0.04022,0.07732,-0.12864
ALKBH5,-0.76248,0.23291,-0.58736,0.06496,-0.12441,0.01401,-0.12856,0.17342,0.09832,-0.24234
CRTC3,-1.41536,0.6914,0.25229,0.33503,0.49812,-0.35383,-0.24413,0.14766,0.12842,0.11716
OXER1,-2.49104,-0.48862,-0.74414,-0.15301,0.05136,-0.24541,0.01943,0.16876,0.02688,0.0692
IGHMBP2,-2.60176,0.39104,-0.30887,-0.03437,-0.78309,-0.36366,0.13991,-0.01459,0.24401,0.00706
TIMM44,8.58295,0.57346,0.41991,0.01044,-0.23263,0.45617,0.16473,0.98952,-0.60238,0.02956
TRIM43,0.06948,1.2642,0.09816,0.71038,-0.12122,-0.26414,-0.13774,-0.35736,0.10072,-0.49356
GALNT16,-1.27811,0.24137,-0.14033,0.23935,-0.48123,0.11321,0.03026,-0.01058,-0.20859,0.35803
ME2,0.06364,0.59046,1.19232,0.05445,0.42281,0.15704,-0.23163,-0.14833,-0.1872,0.25563
SPATA21,-1.14942,0.6216,-0.51119,0.49092,0.08472,-0.1607,-0.11403,0.34752,0.09963,-0.00511
NHEJ1,-0.57494,0.64125,-0.00032,0.09924,0.47061,-0.26082,-0.26852,0.34015,0.05577,-0.09003
C12orf65,0.14034,0.53043,-0.50886,-0.56696,0.08026,-0.07333,-0.1095,0.70429,-0.78187,0.04843
WDR59,0.85169,1.26024,-0.08741,-0.41783,-0.27489,0.34761,0.65156,-0.65096,-0.28533,-0.17735
PROK2,-1.03541,-0.27305,0.00773,0.15241,0.31633,-0.04431,0.13318,-0.18849,-0.16822,0.15521
SFPQ,15.82254,1.21983,-1.01739,2.928,-1.11529,2.37634,-0.34311,0.45913,1.27025,0.91665
ANO9,-2.86732,-0.06709,-1.06085,-0.10206,0.17581,-0.01584,0.32043,-0.04156,0.09342,-0.21594
EHBP1,-4.36506,-0.16186,0.1653,-0.31818,-0.40967,0.17927,-0.01998,0.15974,0.12151,-0.32924
S100A16,-3.18503,0.48066,-0.06991,0.18172,-0.13503,0.28744,0.06528,0.14862,0.28583,0.02736
CEP97,1.5164,0.36618,-0.29515,-0.05274,-0.32122,0.06253,0.06551,-0.05571,-0.00793,0.01304
KATNAL1,-3.04047,-0.02631,-0.25261,0.28021,0.43699,-0.1944,-0.08754,0.20945,0.02966,0.0136
MYCBPAP,0.64532,-0.75074,0.44807,-0.18697,-0.1222,-0.05173,-0.5419,0.03916,-0.05896,-0.03135
IFT43,-2.56735,0.18578,0.38979,0.11908,0.2685,-0.15609,-0.07077,-0.06738,-0.03346,0.01429
ZNF737,-4.81104,0.09128,1.35895,0.19678,0.17169,0.24966,0.23669,0.06541,0.36894,-0.23666
ALDH6A1,-1.37476,0.20263,-0.36895,0.26734,0.49283,-0.35988,-0.02702,-0.06414,-0.07801,0.12588
OMD,-2.36446,-0.65804,0.761,0.21007,0.353,-0.38628,-0.03053,0.12364,0.39375,0.02294
DNAH1,-2.56395,0.61013,-0.6049,0.3047,-0.04294,-0.20793,-0.09413,0.0931,-0.04806,0.02313
PVRIG,-3.1009,0.37611,0.49088,0.32948,-0.05597,-0.14676,0.04393,0.06263,0.36628,-0.00248
PDCD6,2.8427,1.53426,0.05577,0.6788,-0.02356,0.46851,-0.14311,-0.38002,-0.05699,0.31308
CORO1A,-2.24129,0.15111,-0.6123,-0.20587,0.09131,0.40952,-0.01731,-0.1729,0.13754,-0.13819
CIB3,-2.09355,-0.51072,0.40869,-0.11096,0.30658,-0.32753,-0.11873,0.00538,-0.14479,0.0505
FFAR4,1.0841,-0.49496,-0.75723,0.04222,-0.42794,0.0145,-0.56989,-0.15676,-0.38013,-0.03848
NPB,1.28437,1.10451,0.68904,0.61512,-0.2292,-0.25848,-0.4816,-0.2912,-0.23406,-0.14034
PPM1M,-0.06386,-0.0509,0.54497,-0.32746,0.27612,0.2033,-0.11683,-0.69855,-0.42063,-0.11682
ZNF483,-1.96792,-0.78051,0.47723,0.04203,0.1947,0.0063,0.29471,0.18296,0.04805,0.08924
ZNF621,-2.98881,-0.32738,0.01946,-0.11902,0.03558,-0.20788,0.01714,-0.03595,0.05974,0.10519
GABRA5,-1.22451,-0.22241,0.18139,-0.02877,-0.139,0.05657,-0.25959,0.00994,-0.24998,-0.05363
PRLH,-2.78699,-0.01323,0.17619,0.12974,-0.22585,-0.13642,0.08869,-0.0516,-0.01174,-0.18191
CDH10,-2.34944,-0.38955,0.41694,0.12307,0.17012,-0.32349,0.12446,0.16797,0.18835,-0.13053
UCP2,-3.52085,0.03216,0.61574,0.06346,0.22852,0.02438,0.02653,-0.01046,-0.0919,0.03123
CNOT6,0.14049,-0.27277,1.11769,0.43207,-0.42284,0.02558,0.29368,0.17149,0.3328,-0.07756
ZNF446,-2.04043,0.45204,0.46126,-0.12142,0.37375,-0.12951,-0.07913,-0.24578,-0.18765,-0.02678
DDN,1.44157,1.18027,-0.12916,0.98205,-0.66314,0.22137,-0.37968,0.44614,0.31125,0.68606
ATP6V0E2,0.77424,-0.86582,-0.71104,-0.08411,-0.32877,0.23014,0.06511,0.42333,0.37801,0.25022
ANKRD24,-1.42876,0.42024,0.35706,0.27357,0.01972,-0.04327,0.022,0.09975,-0.02419,0.03678
ZC3H8,8.10621,0.72313,0.82475,1.1016,-0.01156,-0.57599,0.37144,-0.05488,-0.07013,-0.61923
PTAFR,-5.26026,-0.13176,1.36728,0.36828,0.33659,0.42075,0.06302,-0.06243,0.1497,0.09032
RAB6B,-0.59637,-0.1032,-0.54137,0.1817,0.01727,0.08372,0.34921,-0.21869,0.06248,-0.11066
WSCD2,-3.54385,0.70075,-1.10962,0.1333,-0.12784,-0.25096,0.34527,-0.06345,-0.16402,0.39301
EID1,-1.45889,-0.31734,-0.45146,-0.07671,-0.50482,0.16765,0.16215,0.03263,-0.0166,0.02456
MC2R,-2.75661,0.17373,-0.68081,-0.29759,-0.83391,0.23598,0.30845,-0.25565,-0.11031,-0.05436
UBE2R2,-1.88084,-0.1893,0.35945,0.27768,0.6429,0.05353,-0.12589,-0.07636,0.03839,0.0056
TNK1,-2.36895,0.24067,-0.90962,0.00484,-0.20956,0.09655,0.35088,0.06827,0.12564,-0.05981
WDR92,6.84539,1.52388,1.02652,-1.44451,-0.72064,-1.95199,0.74465,-0.12172,-0.13073,0.80156
FRS2,-2.41902,-0.55007,-0.47946,0.42309,-0.65063,0.40221,0.20261,0.91904,0.19078,-0.07739
DDX39A,-0.3682,0.75462,-0.65676,0.0692,0.76268,0.15291,-0.02291,-0.2493,-0.07812,-0.02279
SMAD6,0.14399,0.16248,-1.10651,0.20958,0.66359,0.05576,0.0742,0.36297,0.12105,0.12422
FARP1,-0.94193,-0.37598,-0.08147,-0.18577,-0.15302,0.15773,0.10001,-0.23454,-0.32264,0.01217
SH2D1B,-1.97574,-0.06028,1.106,0.20583,-0.48735,-0.09513,0.35663,-0.16397,-0.02651,-0.27602
SHPRH,-0.1478,-0.01266,-0.13663,0.1092,-0.46992,-0.15227,0.10975,0.08969,-0.02095,0.07174
ANTXRL,2.87546,0.43112,-0.60024,0.10164,-0.14348,0.54366,-0.77768,-0.65887,-0.33059,0.09485
EDN2,-2.2706,-0.46883,-0.15236,0.03137,0.51224,-0.00228,-0.00011,0.03617,0.08542,-0.08771
KRT20,-3.92395,0.1405,0.12393,-0.03978,0.00669,-0.36648,-0.05782,-0.02515,-0.26265,-0.102
SYCE1L,-2.17914,-0.11556,0.92789,0.01671,0.02113,-0.53514,0.38397,-0.09227,0.09769,-0.24991
EFCAB14,-1.25654,-0.38884,0.64899,-0.26264,0.73914,-0.29113,-0.0932,-0.29529,0.06769,-0.1423
NTSR1,-3.77878,0.17128,-0.65588,0.00684,0.0524,-0.19337,0.20064,0.0625,0.05715,0.03756
CUEDC2,-3.04088,-0.45004,0.40423,-0.21652,0.06567,-0.09856,-0.33784,-0.08513,0.11748,0.13838
BPIFB1,-0.98481,-0.04784,-0.84828,-0.14602,-0.11576,-0.09165,0.00494,0.00093,-0.18239,-0.18903
C12orf54,-2.8849,-0.48766,-0.18584,-0.03161,0.41985,-0.14633,-0.03924,0.01232,0.09347,-0.23112
SGSH,-4.36497,-0.12577,-0.30523,0.36382,0.15186,0.23652,0.03478,0.02475,0.04414,0.01879
ISL1,-1.82582,0.23952,-1.80038,-0.49522,-0.52,0.23373,-1.00192,0.09851,-0.13828,-1.02877
CTTNBP2NL,-4.49706,-0.06177,0.32144,-0.05286,-0.06492,-0.26272,0.10136,-0.33371,0.2431,-0.19089
TRPC4AP,-3.42914,-0.41634,9e-05,-0.07116,-0.11742,-0.16275,-0.03728,0.19117,0.1864,-0.01679
ZNF546,-2.97316,-0.17082,0.68806,0.16099,0.58723,-0.09664,0.18461,0.00847,-0.10146,-0.04149
KDM3B,-1.79823,-0.29376,-0.16699,-0.40705,-0.20614,0.22471,0.2332,0.13104,0.10336,-0.15042
KHNYN,-3.60922,-0.17799,0.30208,-0.60219,0.04896,0.16397,0.03468,-0.09641,-0.01759,0.02884
TPH1,-1.01247,-0.55978,1.44435,0.12252,-0.15362,-0.16731,-0.18528,0.22195,-0.16318,0.27285
SLC4A2,-1.52446,-0.727,-1.17372,-0.09675,0.25433,-0.30828,-0.00696,0.17928,0.13078,0.26234
GPR126,-3.33514,-0.29191,-0.01258,-0.02848,0.55389,-0.34845,0.09993,0.19499,0.01394,0.03643
NDUFA10,1.59176,1.07028,0.30324,-0.77715,-0.31954,0.85932,0.41646,1.85177,-1.10032,-0.42205
SETD9,-1.9733,0.31457,0.80731,0.10455,0.41847,-0.34967,0.01834,0.19017,0.33209,0.14041
CCDC181,0.44318,-0.3753,0.11071,-0.40944,-0.51092,0.20789,-0.39613,0.03753,-0.32704,0.04917
ZMAT2,7.74685,0.42724,-0.13404,2.33049,-0.56415,-0.35707,-0.45374,-1.02704,0.13034,0.28677
CNNM1,-3.06391,0.46886,-0.05737,0.2687,-0.12233,0.09425,0.24919,0.07269,0.12957,0.09213
CD53,-3.917,0.2179,0.75612,0.02377,-0.12233,-0.04019,0.07745,-0.30429,0.02651,-0.2033
OSBPL3,-2.267,0.13816,-0.99598,0.09572,0.19169,0.07684,0.56043,-0.00339,0.18645,-0.28651
COG6,2.63746,0.80411,-1.36736,0.22515,-0.97707,0.42337,0.01597,0.2517,0.84386,0.05656
CFL2,-2.5915,-0.52852,0.33583,0.17115,0.41664,0.00329,0.09518,0.19807,0.22061,0.01025
SLC4A9,-2.85885,0.77965,0.24133,0.2679,0.07586,-0.07638,0.07552,-0.03681,-0.03769,-0.04405
CD1A,-2.36156,-0.48502,0.442,0.05658,-0.62213,0.16045,0.20894,-0.01043,0.35294,-0.19585
UFD1L,19.68681,-1.28282,-1.22381,0.55602,0.45888,0.78923,0.34096,-0.32555,-0.53452,-0.47241
CCDC88A,-1.27012,-0.19834,0.82496,0.0858,-0.41163,0.00398,-0.3946,-0.12382,0.02122,-0.21458
WIPF2,-3.50856,-0.16347,-0.46877,0.04738,0.32805,0.06804,-0.02369,0.05619,0.18809,-0.26394
FKBP2,-1.22741,-0.38622,-0.4351,-0.49304,-0.27247,-0.01757,0.09549,-0.10763,0.23215,-0.19685
BTN3A1,-6.45707,0.04704,0.17683,0.22179,0.37117,0.12433,-0.14457,-0.04695,-0.01316,-0.39474
CDK8,-2.11712,-0.04523,1.15363,0.01389,0.34463,0.00808,0.24895,0.52567,0.15696,0.8179
MDN1,20.2259,1.75814,-0.78516,-0.77861,-1.18289,-0.8838,-1.35645,0.52731,0.65856,0.64451
C3orf38,2.05766,0.26452,1.30817,0.50585,-0.18674,-1.02096,-0.84296,-0.20053,0.56282,-0.21026
TMEM206,-3.11997,-0.34426,0.53505,0.05858,0.0345,-0.34327,0.12364,-0.1268,-0.13678,0.10554
AK3,2.45813,-0.1099,-0.97034,-0.18672,0.73107,-0.30957,-0.13723,-0.4729,-0.28217,-0.52426
NRARP,-2.35685,0.39051,-0.93487,0.15109,0.19776,-0.19041,-0.17909,0.01217,0.03044,-0.14832
EFCAB12,-1.25619,-0.08664,-0.6914,0.05423,-0.00949,0.09251,-0.31584,-0.06269,-0.14139,0.05896
NR1H2,-3.11099,0.40406,-0.19659,0.07186,0.1414,-0.47846,0.21583,0.02014,0.04861,0.22109
SNAPIN,3.60735,-1.13124,-1.30483,0.50723,-0.49294,0.71739,-0.26506,0.5999,0.89899,0.4135
APOA4,-2.37783,-0.12547,-1.47461,-0.08903,-0.20704,0.0185,0.29317,-0.00949,-0.05614,0.15582
PUS7L,-1.94907,-0.48594,-0.10878,0.02656,0.72907,-0.28814,-0.23933,0.2488,0.25298,-0.00917
GLT1D1,-1.52934,-0.72037,1.25471,-0.46854,-0.01925,-0.27155,0.03503,-0.16822,-0.15964,-0.11025
C19orf33,-1.50474,0.15599,-0.14089,-0.23373,-0.03605,-0.17977,-0.08048,0.01198,-0.07338,-0.26279
TAF9,-4.61723,0.44336,-0.83903,1.21922,0.76318,0.82585,-0.29018,-0.13845,0.37945,-0.42721
C9orf40,-3.23796,0.06048,-0.14756,0.07145,-0.18895,0.02444,-0.12201,0.07613,0.05251,-0.09856
RCSD1,-0.03121,0.28873,0.01252,0.01432,-0.38785,0.21042,-0.10227,0.01656,-0.3684,0.11048
C19orf40,3.66852,-0.58122,0.23377,-0.32431,-0.5947,0.1024,-0.25806,0.56661,0.53374,-0.19255
MT1B,1.85678,-1.3076,-0.43005,-0.32639,0.00824,0.74753,0.52507,0.38478,0.57564,-0.09452
ME1,1.09553,-0.42746,1.03617,0.35592,-0.31463,0.42078,0.05749,0.22964,0.45965,-0.33504
KPTN,-0.8112,-0.60658,1.48865,-0.19582,-0.63897,0.57406,-0.04623,-0.33586,0.09011,0.14436
VANGL2,0.69097,0.16813,-1.26072,0.13741,-0.21021,0.35557,-0.18275,0.00635,-0.1579,0.14846
FAM47E-STBD1,-2.20325,-0.14119,-0.27264,-0.34573,-0.16508,-0.01767,-0.19581,-0.15261,-0.24905,-0.02239
ANGPT4,-4.13321,-0.50011,0.01055,-0.24513,0.13031,-0.288,0.07262,0.10812,0.1085,-0.0226
GTF2E2,20.07555,-3.05226,-2.87829,1.54442,-0.00742,1.8043,-0.02571,0.35726,0.18352,-0.22962
POLE4,-2.12327,0.97212,-1.01003,-0.2564,0.17812,-0.12751,-0.36826,0.10348,0.72349,-0.373
NRAS,1.97116,0.23527,0.08062,-1.19867,1.2137,0.50593,-0.21011,-0.0975,0.81246,-1.06257
STAM2,-0.86987,-0.37341,1.9348,0.01336,-0.17579,0.15319,-0.10319,-0.06435,-0.02398,0.30943
GOLGA1,-1.58427,-0.10309,0.39289,-0.11247,-0.37443,0.21627,-0.14943,-0.07251,0.0511,0.03658
B3GALT2,-2.4154,0.1049,-0.39705,0.00105,-0.03786,-0.28397,0.02276,0.07116,0.34681,-0.18657
TXNDC15,-1.19988,-0.2869,-0.54989,0.0572,-0.19893,-0.31582,0.02701,0.10308,0.10154,0.15851
RAB11B,-1.68749,-0.67003,-0.99556,-0.30833,0.05011,-0.03434,-0.15112,-0.12626,-0.15437,-0.04406
GOLT1B,4.12068,-0.27424,0.3867,-1.24105,-1.52709,-0.31303,0.7362,-0.67501,0.43292,-1.26229
LATS2,-2.80158,0.29007,-0.31283,-0.36544,0.10913,0.73729,-0.01416,0.05146,-0.41556,-0.06759
ZMYM2,0.80808,-0.82774,-0.31448,0.04266,0.30767,0.031,-0.40196,0.26525,0.26581,0.41359
E2F4,-1.01835,0.02536,-0.66691,-0.37381,-0.09659,-0.22474,-0.12925,0.16071,0.3343,0.3319
CMTM1,-2.05148,-0.87297,0.07802,-0.1198,0.06975,-0.15847,-0.01087,0.21243,0.16807,0.14718
LHB,-3.47494,0.60912,-1.13704,0.21682,-0.25218,-0.09299,0.27787,0.34192,0.49429,0.06753
JUP,-3.05684,-0.08034,-1.03484,0.12313,-0.36727,-0.10694,0.61487,0.04937,0.12191,0.29479
TAS2R19,-0.35605,-0.0395,0.62583,-0.00411,1.14099,-0.32123,0.04069,-0.05394,0.19639,-0.27937
TM2D2,3.36825,-0.58753,1.36288,0.95438,-1.32099,0.60171,0.03907,0.03269,-0.01212,0.13047
AGTPBP1,-1.71073,-0.89109,-0.13634,-0.18505,-0.0884,-0.03319,0.23911,0.35822,0.26003,0.24911
WISP3,-1.62582,-0.3879,-0.19277,-0.18883,-0.33676,0.10211,-0.01629,0.04451,-0.0369,0.27638
IGFALS,-2.07124,0.19491,-0.76448,-0.01703,-0.13588,0.05564,-0.07444,-0.11766,-0.28053,0.02543
SSNA1,-3.72917,0.13444,0.15965,-0.09674,0.02371,-0.08977,-0.27282,-0.05622,-0.0172,0.22814
SLC4A11,-2.17024,-0.25235,-0.55219,0.03706,-0.27961,0.18314,0.03996,0.10636,0.04638,0.06297
GPATCH8,-0.99998,-0.31107,-0.40016,-0.26179,0.44032,0.05158,0.36217,0.11544,-0.13163,-0.18153
TTC30A,-3.59814,1.28567,-0.5255,0.50059,0.01363,0.10071,0.17512,0.00709,0.05442,-0.09176
GPR68,-2.3094,0.7817,-0.91003,0.54196,0.18509,-0.06398,0.27291,-0.17428,-0.26442,0.1186
QPRT,-2.90119,-0.01283,-0.9438,0.17413,-0.0658,0.04876,0.12302,-0.13315,-0.21891,0.3753
PIP,-0.48198,0.61332,0.63704,0.4162,0.04709,0.22695,0.32382,-0.2668,0.14974,-0.24134
HYAL4,0.4405,-0.843,1.73406,-0.17857,-0.39963,0.56289,-0.02004,-0.32985,-0.5837,0.10516
RBPMS,-3.8774,-0.40298,0.07997,0.19735,0.59442,0.61945,-0.39471,0.12727,0.14515,-0.16815
GRASP,-0.54071,0.61769,-0.36851,0.4332,-0.26838,-0.05904,-0.08253,0.13728,-0.32997,0.21521
OLFM2,-2.30596,0.40331,-0.51687,0.01289,-0.29503,-0.162,0.15109,-0.17366,0.03531,-0.10611
AVEN,-0.01522,-0.08391,-0.10805,-0.16594,0.19926,0.38832,-0.29517,0.00646,-0.07976,0.01119
DUSP28,-2.82233,0.35646,-0.63256,0.03499,-0.04019,-0.08715,0.14951,0.38459,0.25903,0.06522
PEX16,-0.36843,-0.25732,-0.80641,-0.2044,0.21698,-0.29362,0.11638,-0.0847,-0.04026,0.02665
ZNF300,-3.00889,-0.59235,0.96892,-0.63542,-0.13156,-0.05859,0.05958,0.11408,-0.19123,0.07847
DDX5,7.57455,-0.21055,-0.21869,0.07027,-0.05061,-0.21876,-0.26974,0.44797,-0.35529,0.65013
PPP1R35,0.77566,-0.19492,-0.2059,-0.1804,-0.79423,-0.01572,0.33013,0.125,0.17317,-0.14384
